UNET_QG3,UNET_SPEEDY,PSN_QG3,PSN_SPEEDY
17626.012,1223.1328242353127,Inf,Inf
17603.252,1196.6492836182788,Inf,Inf
17592.986,1204.751941021681,Inf,Inf
17592.986,1206.5153777199985,Inf,Inf
17614.791,1257.7975652169957,Inf,Inf
17608.742,1258.126936358437,Inf,Inf
17608.346,1223.0970143745615,Inf,Inf
17593.225,1275.949504054226,Inf,Inf
17598.398,1233.09321763701,Inf,Inf
17615.268,1221.9250769983828,Inf,Inf
17613.996,1216.5376823920608,Inf,Inf
17572.773,1222.450527021803,Inf,Inf
17642.404,1213.3255378826932,Inf,Inf
17701.85,1218.4323423356636,Inf,Inf
17590.361,1226.4573321299702,Inf,Inf
17604.127,1205.5077678159325,Inf,Inf
17626.33,1246.7249175403715,Inf,Inf
17618.053,1214.246647078678,Inf,Inf
17623.863,1233.7199697776214,Inf,Inf
17624.102,1219.4752846356705,Inf,Inf
17629.354,1240.9826074252724,Inf,Inf
17607.709,1303.5681376795992,Inf,Inf
17647.258,1225.2999574304968,Inf,Inf
17571.422,1207.4777876220494,Inf,Inf
17584.87,1227.001642013386,Inf,Inf
17616.303,1221.0237030145452,Inf,Inf
17595.533,1220.390345944062,Inf,Inf
17643.836,1210.558549731195,Inf,Inf
17582.324,1322.2393194977194,Inf,Inf
17671.53,1229.7599562208354,Inf,Inf
17562.43,1189.421341746822,Inf,Inf
17592.668,1247.3149844680802,Inf,Inf
17618.133,1209.5944687023089,Inf,Inf
17623.146,1199.3974914872497,Inf,Inf
17606.516,1207.479538326353,Inf,Inf
17606.754,1206.6212953303532,Inf,Inf
17616.145,1224.0790799112915,Inf,Inf
17658.479,1255.6935369542018,Inf,Inf
17596.01,1221.5715143065677,Inf,Inf
17712.113,1247.826826744415,Inf,Inf
17609.379,1297.421733180292,Inf,Inf
17592.668,1223.3733869220912,Inf,Inf
17590.361,1288.0703461437672,Inf,Inf
17672.246,1225.9146933733896,Inf,Inf
17609.697,1236.5768008908703,Inf,Inf
17605.957,1210.8970722814947,Inf,Inf
17610.97,1218.694152206488,Inf,Inf
17591.873,1225.5836511051132,Inf,Inf
17626.012,1200.4761640705392,Inf,Inf
17603.252,1226.4573321299702,Inf,Inf
